Key,Summary,Components,Labels,Status,Sprint,Reporter,Assignee,Priority
ALC-2892,"[iOS][Beta] - iPhone 14 crash once user click ""BACK"" CTA  after exit subscribe page from change resolution.",iOS,Beta_Drop12;ProjectA;Review;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01),Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,High (L2)
ALC-2880,[ATV][STV-LG][sooka TV Stick][Web][Android][iOS][Production][Player and Consumption Experience Features] - Selected Subtitle is Not Reflected On The Player for Linear Channels,Android;Android TV;iOS;Smart TV;TV Stick;Web;WebOS,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);Beta_Drop11;Beta_Drop12;ProjectA;STVLG_BetaDrop12v24.12.19;STV_BetaDrop12;TVStick_BetaDrop11;TVStick_BetaDrop11v24.12.13.01(01);UI;Web_BetaDrop12;Web_BetaDrop12v0.0.58;iOS_BetaDrop11;iOS_BetaDrop11v24.12.13(4);post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Nandini Sen,Critical (L1)
ALC-2877,[Web][TV Stick][ATV][Player] VOD Subtitle availability inconsistent across episodes for specific content ,Android;Android TV;iOS;TV Stick;Web,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Android_BetaDrop12;Android_BetaDrop12v24.12.21(01);Beta_Drop12;ProjectA;UX;Web_BetaDrop12;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01);post_launch,Development/Bug Fix,Drop 13,Farah Wahidah,Nicholas Lee,Critical (L1)
ALC-2874,[Web/iOS/Android] Uppercase “Sooka” on Profile upon Maxis Activation,Android;EV;iOS;Web,Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);ProjectA;UI;Web_BetaDrop11;Web_BetaDrop11v0.0.57;iOS_BetaDrop11;iOS_BetaDrop11v24.12.13(4);post_launch,Open,Drop 13,Farah Wahidah,Farah Wahidah,High (L2)
ALC-2869,[IOS][Production][SOOKA-Player and Consumption Experience Features] Subtitle in Player Mapped as 'Default',iOS,Beta_Drop12;ProjectA;Review;UX;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01);post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2865,[ATV][Android][Production][SOOKA-Player and Consumption Experience Features] Audio on Player Mapped as 'Zh-Cmn'  for Mandarin on Linear Channel ,Android;Android TV,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);Beta_Drop11;ProjectA;Review;UI;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2854,[IOS iPad][Production][Player and Consumption Experience Features] - Progress Bar is Not Reflecting Real-Time Progress (Linear),iOS,ProjectA;UX;post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Rajendra Singh,Critical (L1)
ALC-2853,[ATV][BETA] - Crown label on asset not removed accordingly after user purchase/upgrade to premium from resolution.,Android TV,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Beta_Drop11;ProjectA;Review,Development/Bug Fix,Drop 13,Shafiqah Norazmi,Nandini Sen,High (L2)
ALC-2852,[ATV][SOOKA TV Stick][STV][BETA] - Not auto change resolution to 1080p and playback after user successfully purchase/upgrade to premium.,Android TV;Tizen;TV Stick,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Beta_Drop11;Beta_Drop12;ProjectA;Review;STVSamsung_BetaDrop12v24.12.26;STV_BetaDrop12;TVStick_BetaDrop12;TVStick_BetaDrop12v24.12.19,Development/Bug Fix,Drop 13,Shafiqah Norazmi,Nandini Sen,High (L2)
ALC-2846,[Web/ATV/LG/TV Stick][Production][Content Pages] - Subtitles Metadata Are Missing on Linear Content Detail Page,Android TV;TV Stick;Web;WebOS,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Beta_Drop11;ProjectA;STVLG_BetaDrop11v24.12.12;STV_BetaDrop11;TVStick_BetaDrop11;TVStick_BetaDrop11v24.12.13.01(01);UI;Web_BetaDrop11;Web_BetaDrop11v0.0.57;post_launch,Open,Drop 13,NurZulaikha Iberahim,Karan Mittal,Critical (L1)
ALC-2843,[Web][Production][SOOKA-Settings] Updating Mobile Number Not Working as Expected,Web,Beta_Drop11;ProjectA;UX;Web_BetaDrop11;Web_BetaDrop11v0.0.57;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Rajan Shergill,Critical (L1)
ALC-2841,[Web][production][[Content Pages] - Banner Does not Update When Content Ends and Progress Bar Extends Past Container,Web,Beta_Drop11;ProjectA;UI;Web_BetaDrop11;Web_BetaDrop11v0.0.57;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Rajan Shergill,Critical (L1)
ALC-2839,[Android TV][Production][SOOKA-Player and Consumption Experience] Both 'Cantonese' and 'Chinese' Audio Displayed Selected,Android TV,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Beta_Drop11;ProjectA;UI;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2838,"[Android][production][[Settings] - Payment Pending Issues: Play Store Pop up Error, and App Crash on Subscription Attempt",Android,Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);Beta_Drop11;ProjectA;UX;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Nandini Sen,Critical (L1)
ALC-2830,"[Web, Android, iOS][BETA] - Pop up 'Unable to play content' message instead 'Content Not Available In Your Region' when user connected VPN to playback.",Android;iOS;Web,Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);Beta_Drop11;ProjectA;Web_BetaDrop11;Web_BetaDrop11v0.0.57;iOS_BetaDrop11;iOS_BetaDrop11v24.12.13;post_launch,Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,Critical (L1)
ALC-2826,[iOS][GA] - Event Tagging Inaccuracy ,iOS,GA;ProjectA;iOS_BetaDrop9;iOS_BetaDrop9v24.12.02(1);post_launch,Open,Drop 13,Farah Wahidah,Bhupendra Bartwal,High (L2)
ALC-2814,[iOS][Android][Production][Settings] - Restore Purchase CTA nonexistent in Profile for Free User (Non-Premium),Android;iOS,Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);Beta_Drop11;ProjectA;UI;UX;iOS_BetaDrop11;iOS_BetaDrop11v24.12.13(4);post_launch,Open,Drop 13,Aliff Danish,Rajendra Singh,Critical (L1)
ALC-2811,[ATV][Production][SOOKA-Player and Consumption Experience] Incorrect Metadata Display on Live Player,Android TV,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Beta_Drop11;ProjectA;UI;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2806,[STV][LG][BETA] - Stack poster asset on second fold of content details page on VOD closed/series assets.,WebOS,Beta_Drop11;Beta_Drop12;ProjectA;Regression;STVLG_BetaDrop11v24.12.12;STVLG_BetaDrop12v24.12.19;STV_BetaDrop11;STV_BetaDrop12;post_launch,Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,Critical (L1)
ALC-2805,[iOS/Android][Settings][Maxis][Missing subscription date & Incorrect Copy],Android;iOS,Android_BetaDrop10;Android_BetaDrop10v24.12.09(02);Beta_Drop10;ProjectA;Review;UX;iOS_BetaDrop10;iOS_BetaDrop10v24.12.09(5);post_launch,Open,Drop 13,Farah Wahidah,Bhupendra Bartwal,Critical (L1)
ALC-2797,[STV - LG][Production][Content Pages] - Broken UI in Second Fold for VOD Content Details Page,WebOS,Beta_Drop11;ProjectA;STVLG_BetaDrop11v24.12.12;STV_BetaDrop11;UI;post_launch,Development/Bug Fix,Drop 13,Chong Wai Yip,Nandini Sen,Critical (L1)
ALC-2796,[iOS iPad][Production][Player and Consumption Experience Features] - No Top Spacing for Player Overlay (VOD),iOS,Beta_Drop10;ProjectA;UI;iOS_BetaDrop10;iOS_BetaDrop10v24.12.09(5);post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
ALC-2779,[Android][GA] - Event Tagging Inaccuracy ,Android,Android_BetaDrop9;Android_BetaDrop9v24.12.02(01);GA;ProjectA;post_launch,Open,Drop 13,Farah Wahidah,Bhupendra Bartwal,Critical (L1)
ALC-2771,[STV - LG][Production][Player and Consumption Experience Features] - Incorrect RCU Navigation in Player When Magic Cursor is Active,WebOS,Beta_Drop10;ProjectA;STVLG_BetaDrop10v24.12.09;STV_BetaDrop10;UX;post_launch,Open,Drop 13,Chong Wai Yip,Rajnish Kumar,Critical (L1)
ALC-2765,[STV - LG/ATV/TV Stick][Production][Player and Consumption Experience Features] - Mandarin Incorrectly Mapped as Chinese on Audio Options in Player,Android TV;TV Stick;WebOS,ATV_BetaDrop10;ATV_BetaDrop10v24.12.09(01);Beta_Drop10;Beta_Drop12.5(HotFix);Metadata;ProjectA;STVLG_BetaDrop10v24.12.09;STV_BetaDrop10;TVStick_BetaDrop10;TVStick_BetaDrop10v24.12.08.01(01);TVStick_BetaDrop12.5(HotFix);TVStick_BetaDrop12.5(HotFix)v25.01.09.01(01);UX;post_launch,Development/Bug Fix,Drop 13,Chong Wai Yip,Nandini Sen,Critical (L1)
ALC-2763,"[IOS, Android, Web][Production][Player and Consumption Experience Features ] - ""Mandarin"" Audio Appearing as ""Chinese"" in Audio in Player.",Android;iOS;Web,Android_BetaDrop9;Android_BetaDrop9v24.12.02(01);Beta_Drop11;Beta_Drop12;Metadata;ProjectA;Web_BetaDrop10;Web_BetaDrop10v0.0.54;iOS_BetaDrop9;iOS_BetaDrop9v24.12.02(1);post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
ALC-2762,[IOS iPad][Production][Content Pages] - Channel Logo in Content Page Have Purple Background & Looks Stretched,iOS,Beta_Drop11;ProjectA;UI;iOS_BetaDrop11;iOS_BetaDrop11v24.12.13(4);post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Rajendra Singh,Critical (L1)
ALC-2761,[IOS][Production][Advertising Features] - CLONE Incorrect Behaviour & UI for Player Overlay When Ads Are Playing - Regression,iOS,Beta_Drop9;ProjectA;Regression;UI;UX;iOS_BetaDrop9;iOS_BetaDrop9v24.12.02(1);post_launch,Open,Drop 13,Aliff Danish,Rajendra Singh,Critical (L1)
ALC-2747,[Web][Production][User Interaction and Content Discovery Experience Features] - Automatic Scroll-Up Behavior Upon Reaching the Bottom of Mini-EPG For The First Time,Web,Beta_Drop10;ProjectA;UX;Web_BetaDrop10;Web_BetaDrop10v0.0.54;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Nandini Sen,Critical (L1)
ALC-2739,[STV - LG][Production][Player and Consumption Experience Features] - Linear Playback Occasionally Pauses - Regression,WebOS,Beta_Drop9;ProjectA;Regression;STVLG_BetaDrop9v24.11.28;STV_BetaDrop9;UX;post_launch,Development/Bug Fix,Drop 13,Chong Wai Yip,Nandini Sen,Critical (L1)
ALC-2718,[Android TV/Android/iOS/STV - LG] [Production] [Content Pages] Episode Number is not Reflected on Title ,Android;Android TV;iOS;WebOS,ATV_BetaDrop9;ATV_BetaDrop9v24.11.30(01);Android_BetaDrop9;Android_BetaDrop9v24.12.02(01);Beta_Drop9;Metadata;Project;ProjectA;STVLG_BetaDrop9v24.11.28;STV_BetaDrop9;iOS_BetaDrop9;iOS_BetaDrop9v24.12.02(1);post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2716,[STV][GA] - Event Tagging Inaccuracy ,Smart TV,Beta_Drop9;GA;ProjectA;STVLG_BetaDrop9v24.11.28;post_launch,Open,Drop 13,Farah Wahidah,Bhupendra Bartwal,High (L2)
ALC-2715,[Web][Production][Payment Gateway and Payment Methods]- Refresh Screen Should Not Have Cutoffs or Appear Before Payment is Processed/Cancelled,Web,Beta_Drop9;ProjectA;UI;Web_BetaDrop9;Web_BetaDrop9v0.0.53;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Vishal Kashyap,Critical (L1)
ALC-2709,[sooka TV Stick][ATV][GA] - Event Tagging Inaccuracy ,Android TV;TV Stick,ATV_BetaDrop9;ATV_BetaDrop9v24.11.30(01);Beta_Drop9;GA;ProjectA;TVStick_BetaDrop9;TVStick_BetaDrop9v24.11.27.01(01);post_launch,Open,Drop 13,Farah Wahidah,Rahul Agarwal,High (L2)
ALC-2603,"[Web][Production][User Interaction and Content Discovery Experience Features]- Page in Page Alignment Incorrect, Covering the Carousel Poster",Web,Beta_Drop8;ProjectA;UI;Web_BetaDrop8;Web_BetaDrop8v0.0.52;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Nandini Sen,Critical (L1)
ALC-2559,[STV - LG][ATV][Production][User Interaction and Content Discovery Experience Features] - Missing Progress Bar on Rails With Live Content (Regression),Android TV;WebOS,ATV_BetaDrop8;ATV_BetaDrop8v24.11.25(01);Beta_Drop8;ProjectA;Regression;STVLG_BetaDrop8v24.11.21;STV_BetaDrop8;UI;UX;post_launch,Development/Bug Fix,Drop 13,Chong Wai Yip,Nandini Sen,Critical (L1)
ALC-2545,[Android/iOS][Viewer Onboarding] Minor lag in sooka Logo loading page animation ,Android;iOS,Beta;BetaFeedback;ProjectA;UX;post_launch,Development/Bug Fix,Drop 13,Farah Wahidah,Bhupendra Bartwal,Critical (L1)
ALC-2535,[STV - LG][Production][Content Pages] - Episode Progress Not Reflecting Correctly After Binge Watching,WebOS,Beta_Drop8;ProjectA;STVLG_BetaDrop8v24.11.21;STV_BetaDrop8;U0;UX;post_launch,Development/Bug Fix,Drop 13,Chong Wai Yip,Nandini Sen,Critical (L1)
ALC-2455,[STV - LG][Production][User Interaction and Content Discovery Experience Features] - Title on Poster is Hidden By Ellipsis Prematurely,WebOS,Beta_Drop7;Beta_Drop8;Beta_Drop9;ProjectA;STVLG_BetaDrop7v24.11.14;STV_BetaDrop7;U1;UX;post_launch,Development/Bug Fix,Drop 13,Chong Wai Yip,Nandini Sen,Critical (L1)
ALC-2440,[TV Stick][Beta][Player] ‘Next Episode’ Icon Intermittently Disappears During Watch/Resume,TV Stick,Beta_Drop7;ProjectA;TVStick_BetaDrop7;TVStick_BetaDrop7v24.11.15.01(01);U1;UX;post_launch,Reopened,Drop 13,Farah Wahidah,Anmol Rajput,Critical (L1)
ALC-2430,[IOS][Android][Production][Content Pages] - Incorrect UI & Behaviour on Metadata When Browsing Through EPG (Linear),Android;iOS,Android_BetaDrop7;Android_BetaDrop7v24.11.14(01);Beta_Drop7;ProjectA;U1;UX;iOS_BetaDrop7;iOS_BetaDrop7v24.11.14(2);post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Gaurav Mittal,Critical (L1)
ALC-2411,[STV - LG][Production][Content Pages] - Incorrect Behavior on Hover on More/Less,WebOS,Beta_Drop7;ProjectA;STVLG_BetaDrop7v24.11.14;STV_BetaDrop7;UX;post_launch,Open,Drop 13,Chong Wai Yip,Bhupendra Bartwal,Critical (L1)
ALC-2409,[IOS][Android][Production][Content Pages] - Incorrect Behaviour on Content Page 2nd Fold (Linear),Android;iOS,Android_BetaDrop7;Android_BetaDrop7v24.11.14(01);Beta_Drop7;ProjectA;UX;iOS_BetaDrop7;iOS_BetaDrop7v24.11.14(2);post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
ALC-2402,[IOS][Android][Production][Content Pages] - No Shadow for Long Synopsis Indicator in Content Detail Page,Android;iOS,Android_BetaDrop7;Android_BetaDrop7v24.11.14(01);Beta_Drop7;ProjectA;UX;iOS_BetaDrop7;iOS_BetaDrop7v24.11.14(2);post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Rajendra Singh,Critical (L1)
ALC-2401,[TV stick][Beta][Content Page]: Inconsistent Container Alignment on Program Rails Upon Hover (and Flickering),Android TV;Smart TV;TV Stick,Beta_Drop7;ProjectA;TVStick_BetaDrop7;TVStick_BetaDrop7v24.11.15.01(01);UX;post_launch,Open,Drop 13,Farah Wahidah,Anmol Rajput,Critical (L1)
ALC-2352,"[IOS/Android/ATVSTV-LG/sooka TV Stick/Web][Production][User Interaction and Content Discovery Experience Features] - Incorrect Metadata on ""Expiring Soon"" Asset",Android;Android TV;iOS;Smart TV;TV Stick;Web;WebOS,ATV_BetaDrop7;ATV_BetaDrop7v24.11.14(02);Android_BetaDrop7;Android_BetaDrop7v24.11.14(01);Beta_Drop7;Metadata;ProjectA;STVLG_BetaDrop7v24.11.14;STV_BetaDrop7;TVStick_BetaDrop6v24.11.07.01(01);TVStick_BetaDrop7;Web_BetaDrop7;Web_BetaDrop7v0.0.45;iOS_BetaDrop7;iOS_BetaDrop7v24.11.14(2);post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
ALC-2313,[STV - LG][Production][Settings] - Missing Active Device Indicator in Registered Devices,WebOS,Beta_Drop7;ProjectA;STVLG_BetaDrop7v24.11.13;STV_BetaDrop7;UX;post_launch,Development/Bug Fix,Drop 13,Chong Wai Yip,Nandini Sen,Critical (L1)
ALC-2290,[IOS/Android/ATV/STV - LG/sooka TV Stick][Production][Search Features] - Search Results in Search Result Page Does Not Reflect The Correct EPG When Clicked,Android;Android TV;iOS;TV Stick;WebOS,ATV_BetaDrop6;ATV_BetaDrop6v24.11.07(01);Android_BetaDrop6;Android_BetaDrop6v24.11.07(01);Beta_Drop6;ProjectA;STVLG_BetaDrop6v24.11.07;STV_BetaDrop6;TVStick_BetaDrop6;TVStick_BetaDrop6v24.11.07.01(01);UX;iOS_BetaDrop6;iOS_BetaDrop6v24.11.07(1);post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
ALC-2250,[Android][Production][Player and Consumption Experience Features] - Delay on Linear Player on Non-Premium Account,Android,Android_BetaDrop6;Android_BetaDrop6v24.11.07(01);Beta_Drop6;ProjectA;UX;post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
ALC-2204,[TV Stick] [Beta] [Search] Side Navigation background overlay is missing,TV Stick,Beta_Drop5;ProjectA;TVStick_BetaDrop5;TVStick_BetaDrop5v24.10.29.01(01);U0;UX;post_launch,Reopened,Drop 13,Farah Wahidah,Anmol Rajput,Critical (L1)
ALC-2191,[Mobile Web][Web][Beta][Viewer Onboarding Features] - New User Registration Page Confirm Password Error Wrong,Web,Beta_Drop6;ProjectA;UI;Web_BetaDrop6;Web_BetaDrop6v0.0.41;post_launch,Development/Bug Fix,Drop 13,"LIM, Valerie",Rajan Shergill,Critical (L1)
ALC-2181,[TV Stick] [Beta] Incorrect Error Format Display,TV Stick,Beta_Drop5;ProjectA;TVStick_BetaDrop5;TVStick_BetaDrop5v24.10.29.01(01);UX;post_launch,Open,Drop 13,Farah Wahidah,Anmol Rajput,Critical (L1)
ALC-2125,[Android][Production][User Interaction and Content Discovery Experience Features] - Incorrect Spacing Below Carousel (Regression),Android,Android;Android_BetaDrop5;Android_BetaDrop5v24.10.29(01);ProjectA;UI;post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
